directory,file,title,year,decade,medium,filterMedium,dimensions,filterSize,status,holder,contact,tagAbstract,tagBlackAndWhite,tagDominicanRepublic,tagFigure,tagLandscape,tagLetter,tagMonhegan,tagPath,tagRepresentational,tagSeascape,tagStillLife,tagTondo
/frances_kornbluth/images/collection/,sunrise_collage.jpg,Sunrise Collage,,Undated,Collage,Collage,"19 x 13""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,trees_3.jpg,Trees #3,,1950s,Mixed media on paper,Mixed Media,"6 x 12""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,trees_4.jpg,Trees #4,,1950s,Mixed media on paper,Mixed Media,"6 x 12""",Medium,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,trees_7.jpg,Trees #7,,1960s,Watercolor on paper,Watercolor,"9 x 12""",Small,Available,Please Inquire,kornbluthart@gmail.com,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,trio.jpg,Trio,,2000s,Collage on paper,Collage,"13"" diameter",Small,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,untitled_squares_1.jpg,Untitled Squares #1,,1960s,Watercolor on paper,Watercolor,"21.5 x 18""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,untitled_squares_2.jpg,Untitled Squares #2,,1960s,Watercolor on paper,Watercolor,"21.5 x 18""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,untitled_squares_3.jpg,Untitled Squares #3,,1960s,Watercolor on paper,Watercolor,"21.5 x 18""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,wings.jpg,Wings,,2010s,Collage on paper,Collage,"22 x 29.5""",Large,Available,Please Inquire,kornbluthart@gmail.com,x,x,,,,,,,,,,
/frances_kornbluth/images/collection/,path.jpg,Path,,1960s,Ink on paper,Ink,"10.5 x 9.5""",Medium,Private,private,,x,x,,,x,,,x,,,,
/frances_kornbluth/images/collection/,rocks.jpg,Rocks,,1960s,Ink on paper,Ink,"10 x 8""",Medium,Private,private,,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,waves.jpg,Waves,,1960s,Ink on paper,Ink,"10 x 8""",Medium,Private,private,,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,black_and_white_collage_2.jpg,Black and White Collage #2,,Undated,Collage,Collage,"16.75 x 14""",Medium,Available,Silver Circle Studio,info@silvercirclegallery.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,bouquet.jpg,Bouquet,,1960s,Ink wash on paper,Ink,"16.25 x 13.25""",Medium,Available,Silver Circle Studio,info@silvercirclegallery.com,x,x,,,,,,,,,x,
/frances_kornbluth/images/collection/,edge_of_the_sea.jpg,Edge of the Sea,,1960s,Watercolor on paper,Watercolor,"10 x 12""",Small,Available,Silver Circle Studio,info@silvercirclegallery.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,nocturne.jpg,Nocturne,1988,1980s,Collage on paper,Collage,"24 x 18""",Large,Available,Silver Circle Studio,info@silvercirclegallery.com,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,ocean_screen_study_3.jpg,Ocean Screen Study #3,,1970s,Collage,Collage,"6 x 14""",Small,Available,Silver Circle Studio,info@silvercirclegallery.com,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,untitled_c3.jpg,Untitled Seascape,,1960s,Ink on paper,Ink,"10 x 8""",Medium,Available,Silver Circle Studio,info@silvercirclegallery.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,untitled_c4.jpg,Untitled Seascape,,1960s,Ink on paper,Ink,"9 x 8""",Medium,Available,Silver Circle Studio,info@silvercirclegallery.com,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_1.jpg,Seascape #1,,1960s,Ink on paper,Ink,"12 x 9""",Small,Private,Tony Modica,,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,bw_seascape_3.jpg,Seascape #3,,1960s,Ink on paper,Ink,"12 x 9""",Small,Private,Tony Modica,,x,x,,,,,x,,,x,,
/frances_kornbluth/images/collection/,spray.jpg,Spray,,1960s,Ink wash on paper,Ink,"24 x 18.5""",Large,Private,Tony Modica,,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,to_the_island.jpg,To the Island,1956,1950s,Watercolor on paper,Watercolor,"10 x 13.25""",Small,Private,Tony Modica,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,trees_2.jpg,Trees #2,,1960s,Ink wash on paper,Ink,"12 x 9""",Small,Private,Tony Modica,,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,trees_5.jpg,Trees #5,,1960s,Ink wash on paper,Ink,"12 x 9""",Small,Private,Tony Modica,,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,trees_6.jpg,Trees #6,,1960s,Ink wash on paper,Ink,"12 x 9""",Small,Private,Tony Modica,,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,altos_de_chavon.jpg,Altos de Chavon,1985,1980s,Collage on handmade paper,Collage,"24"" diameter",,Unknown,unknown,,x,,x,,x,,,,,,,x
/frances_kornbluth/images/collection/,altos_twilight.jpg,Altos Twilight,1985,1980s,Collage on handmade paper,Collage,"24"" diameter",,Unknown,unknown,,x,,x,,x,,,,,,,x
/frances_kornbluth/images/collection/,at_whitehead_1.jpg,At Whitehead #1,,Undated,Mixed media on paper,Mixed Media,finished size unavailable,Unavailable,Unknown,unknown,,,,,,,,x,,x,x,,
/frances_kornbluth/images/collection/,at_whitehead_2.jpg,At Whitehead #2,,Undated,Mixed media on paper,Mixed Media,finished size unavailable,Unavailable,Unknown,unknown,,,,,,,,x,,x,x,,
/frances_kornbluth/images/collection/,at_whitehead_3.jpg,At Whitehead #3,,Undated,Mixed media on paper,Mixed Media,finished size unavailable,Unavailable,Unknown,unknown,,,,,,,,x,,x,x,,
/frances_kornbluth/images/collection/,barbara_in_the_basement.jpg,Barbara in the Basement,1955,1950s,Oil on board,Oil,8 x 15.5,Small,Unknown,unknown,,,,,x,,,,,x,,,
/frances_kornbluth/images/collection/,beach_night.jpg,Beach Night,,1960s,Ink wash on paper,Ink,"18 x 15""",Medium,Unknown,unknown,,x,x,,,,,,,,x,,
/frances_kornbluth/images/collection/,beach_with_people.jpg,Beach with People,2001,2000s,Collage on wood,Collage,"9.75 x 19.75""",Large,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,book.jpg,Book,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,composition_1.jpg,Composition #1,1995,1990s,Acrylic on cotton on wood,Acrylic,"35 x 35""",Very Large,Unknown,unknown,,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,composition_2.jpg,Composition #2,1995,1990s,Acrylic on cotton on wood,Acrylic,"35 x 35""",Very Large,Unknown,unknown,,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,cottage.jpg,Cottage,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,edge_of_the_sea_1.jpg,Edge of the Sea #1,,Undated,Monotype on paper,Monotype,"5 x 17""",Medium,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,fish_beach_triptych.jpg,Fish Beach Triptych,,Undated,Acrylic on paper,Acrylic,"20.25 x 20"" each",Large,Unknown,unknown,,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,genesis.jpg,Genesis,2000,2000s,Collage on handmade paper,Collage,"20"" diameter",Medium,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,grey_wind_rushing_sea.jpg,"Grey Wind, Rushing Sea",,Undated,Acrylic on canvas,Acrylic,"44 x 40""",Very Large,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,hatching.jpg,Hatching,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,house.jpg,House,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,interior_with_daffodils.jpg,Interior with Daffodils,,Undated,Collage,Collage,"17.5 x 10.25""",Medium,Unknown,unknown,,x,,,,,,,,,,x,
/frances_kornbluth/images/collection/,island_night_path_3.jpg,Island Night Path #3,,1970s,Acrylic on paper,Acrylic,"14.5 x 17.25""",Medium,Unknown,unknown,,x,x,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,island_night_path_4.jpg,Island Night Path #4,,1970s,Acrylic on paper,Acrylic,"15 x 17.75""",Medium,Unknown,unknown,,x,x,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,island_night_path_5.jpg,Island Night Path #5,,1970s,Acrylic on paper,Acrylic,"15 x 17.75""",Medium,Unknown,unknown,,x,x,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,island_night_path_6.jpg,Island Night Path #6,,1970s,Acrylic on paper,Acrylic,"15 x 17.75""",Medium,Unknown,unknown,,x,x,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,island_path_8.jpg,Island Path #8,,1970s,Mixed media on paper,Mixed Media,"27 x 27""",Large,Unknown,unknown,,x,x,,,x,,x,x,,,,
/frances_kornbluth/images/collection/,masquamicut.jpg,Masquamicut,2001,2000s,Collage on wood,Collage,"9.75 x 19.75""",Large,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,monhegan_energy.jpg,Monhegan Energy,1957,1950s,Oil on canvas,Oil,"12 x 16""",Small,Unknown,unknown,,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,moonlight.jpg,Moonlight,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,night_energy.jpg,Night Energy,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,ocean_screen_study_1.jpg,Ocean Screen Study #1,,1970s,Collage,Collage,"6.5 x 13""",Small,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,ocean_screen_study_2.jpg,Ocean Screen Study #2,,1970s,Collage,Collage,"7 x 19.5""",Small,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,ocean_screen_study_5.jpg,Ocean Screen Study #5,,1970s,Collage,Collage,"6.5 x 14""",Small,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,ocean_screen_study_6.jpg,Ocean Screen Study #6,,1970s,Collage,Collage,"6.5 x 14""",Small,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,palaces.jpg,Palaces,,Undated,Acrylic on paper,Acrylic,"11.5 x 17.5""",Small,Unknown,unknown,,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,running_free.jpg,Running Free,1956,1950s,Watercolor on paper,Watercolor,"14 x 10""",Small,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,sky_song.jpg,Sky Song,,Undated,Pastel on paper,Pastel,"40 x 30""",Very Large,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,sky_song_12.jpg,Sky Song #12,,Undated,Pastel on paper,Pastel,"12 x 16""",Small,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,sky_song_7.jpg,Sky Song #7,,Undated,Pastel on paper,Pastel,"12 x 16""",Small,Unknown,unknown,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,soliloquy.jpg,Soliloquy,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,tranquility.jpg,Tranquility,,2000s,Collage on paper,Collage,"13"" diameter",Small,Unknown,unknown,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,untitled_wc.jpg,Untitled,,Undated,Watercolor on paper,Watercolor,"20.25 x 20.25""",Large,Unknown,unknown,,x,,,,,,,,,,,
